name,data_size,seed,avg_node_size
out_place_n8,1900000,2,25949
out_place_n8,1910000,2,26800
out_place_n8,1920000,2,27332
out_place_n8,1930000,2,26361
out_place_n8,1940000,2,26110
out_place_n8,1950000,2,25879
out_place_n8,1960000,2,27123
out_place_n8,1970000,2,26545
out_place_n8,1980000,2,25949
out_place_n8,1990000,2,28359
out_place_n8,2000000,2,26928
baseline,1000000,2,24384
baseline,1010000,2,24628
baseline,1020000,2,24872
baseline,1030000,2,25116
baseline,1040000,2,25360
baseline,1050000,2,25603
baseline,1060000,2,25847
baseline,1070000,2,26091
baseline,1080000,2,26335
baseline,1090000,2,26579
baseline,1100000,2,26823
baseline,1110000,2,27067
baseline,1120000,2,27311
baseline,1130000,2,27555
baseline,1140000,2,27799
baseline,1150000,2,28042
baseline,1160000,2,28286
baseline,1170000,2,28530
baseline,1180000,2,28774
baseline,1190000,2,29018
baseline,1200000,2,29262
baseline,1210000,2,29506
baseline,1220000,2,29750
baseline,1230000,2,29994
baseline,1240000,2,30238
baseline,1250000,2,30481
baseline,1260000,2,30725
baseline,1270000,2,30969
baseline,1280000,2,31213
baseline,1290000,2,31457
baseline,1300000,2,31701
baseline,1310000,2,31945
baseline,1320000,2,32189
baseline,1330000,2,32433
baseline,1340000,2,32677
baseline,1350000,2,32920
baseline,1360000,2,33164
baseline,1370000,2,33408
baseline,1380000,2,33652
baseline,1390000,2,33896
baseline,1400000,2,34140
baseline,1410000,2,34384
baseline,1420000,2,34628
baseline,1430000,2,34872
baseline,1440000,2,35116
baseline,1450000,2,35360
baseline,1460000,2,35603
baseline,1470000,2,35847
baseline,1480000,2,36091
baseline,1490000,2,36335
baseline,1500000,2,36579
baseline,1510000,2,36823
baseline,1520000,2,37067
baseline,1530000,2,37311
baseline,1540000,2,37555
baseline,1550000,2,37799
baseline,1560000,2,38042
baseline,1570000,2,38286
baseline,1580000,2,38530
baseline,1590000,2,38774
baseline,1600000,2,39018
baseline,1610000,2,39262
baseline,1620000,2,39506
baseline,1630000,2,39750
baseline,1640000,2,39994
baseline,1650000,2,40238
baseline,1660000,2,40481
baseline,1670000,2,40725
baseline,1680000,2,40969
baseline,1690000,2,41213
baseline,1700000,2,41457
baseline,1710000,2,41701
baseline,1720000,2,41945
baseline,1730000,2,42189
baseline,1740000,2,42433
baseline,1750000,2,42677
baseline,1760000,2,42920
baseline,1770000,2,43164
baseline,1780000,2,43408
baseline,1790000,2,43652
baseline,1800000,2,43896
baseline,1810000,2,44140
baseline,1820000,2,44384
baseline,1830000,2,44628
baseline,1840000,2,44872
baseline,1850000,2,45116
baseline,1860000,2,45360
baseline,1870000,2,45603
baseline,1880000,2,45847
baseline,1890000,2,46091
baseline,1900000,2,46335
baseline,1910000,2,46579
baseline,1920000,2,46823
baseline,1930000,2,47067
baseline,1940000,2,47311
baseline,1950000,2,47555
baseline,1960000,2,47799
baseline,1970000,2,48042
baseline,1980000,2,48286
baseline,1990000,2,48530
baseline,2000000,2,48774
out_place_n0,1000000,3,24384
out_place_n0,1010000,3,20077
out_place_n0,1020000,3,13891
out_place_n0,1030000,3,11014
out_place_n0,1040000,3,9654
out_place_n0,1050000,3,8469
out_place_n0,1060000,3,7682
out_place_n0,1070000,3,7325
out_place_n0,1080000,3,6909
out_place_n0,1090000,3,6464
out_place_n0,1100000,3,5955
out_place_n0,1110000,3,5784
out_place_n0,1120000,3,5541
out_place_n0,1130000,3,5429
out_place_n0,1140000,3,5267
out_place_n0,1150000,3,5119
out_place_n0,1160000,3,4979
out_place_n0,1170000,3,4900
out_place_n0,1180000,3,4717
out_place_n0,1190000,3,4714
out_place_n0,1200000,3,4605
out_place_n0,1210000,3,4467
out_place_n0,1220000,3,4313
out_place_n0,1230000,3,4232
out_place_n0,1240000,3,4170
out_place_n0,1250000,3,4093
out_place_n0,1260000,3,3998
out_place_n0,1270000,3,3936
out_place_n0,1280000,3,3799
out_place_n0,1290000,3,3756
out_place_n0,1300000,3,3714
out_place_n0,1310000,3,3696
out_place_n0,1320000,3,3703
out_place_n0,1330000,3,3707
